episode,reward,length
398,0.0,1
399,0.0,1
400,0.0,1
401,0.0,3
402,0.0,1
403,0.0,1
404,0.0,2
405,0.0,6
406,0.0,1
407,0.0,3
408,0.0,5
409,0.0,1
410,0.0,9
411,0.0,2
412,0.0,1
413,0.0,7
414,0.0,1
415,0.0,3
416,0.0,5
417,0.978906,6
418,0.975391,7
419,0.0,4
420,0.0,1
421,0.0,7
422,0.0,2
423,0.0,14
424,0.0,8
425,0.0,8
426,0.0,18
427,0.0,14
428,0.0,9
429,0.0,1
430,0.0,2
431,0.0,1
432,0.982422,5
433,0.0,2
434,0.0,1
435,0.0,3
436,0.0,14
437,0.0,1
438,0.0,3
439,0.0,2
440,0.0,5
441,0.968359,9
442,0.0,3
443,0.0,2
444,0.0,7
445,0.0,2
446,0.0,1
447,0.0,9
448,0.0,8
449,0.0,2
450,0.0,5
451,0.0,2
452,0.0,1
453,0.0,3
454,0.0,9
455,0.0,2
456,0.0,6
457,0.0,6
458,0.0,11
459,0.0,5
460,0.0,1
461,0.0,2
462,0.0,4
463,0.0,1
464,0.0,2
465,0.985938,4
466,0.0,7
467,0.0,1
468,0.0,8
469,0.0,9
470,0.0,4
471,0.0,4
472,0.0,3
473,0.0,14
474,0.0,6
475,0.0,1
476,0.0,10
477,0.0,10
478,0.0,5
479,0.0,11
480,0.0,12
481,0.0,7
482,0.0,1
483,0.0,12
484,0.0,5
485,0.964844,10
486,0.0,6
487,0.0,2
488,0.0,19
489,0.0,5
490,0.0,5
491,0.0,6
492,0.0,6
493,0.0,3
494,0.0,4
495,0.0,1
496,0.0,4
497,0.0,5
498,0.0,11
499,0.0,5
500,0.0,11
501,0.0,1
502,0.0,7
503,0.0,8
504,0.0,7
505,0.0,3
506,0.0,1
507,0.0,1
508,0.0,11
509,0.0,7
510,0.0,1
511,0.0,8
512,0.0,7
513,0.0,2
514,0.0,4
515,0.0,4
516,0.0,1
517,0.0,2
518,0.0,32
519,0.0,1
520,0.0,4
521,0.0,8
522,0.0,1
523,0.0,7
524,0.0,5
525,0.0,2
526,0.0,2
527,0.0,6
528,0.0,11
529,0.0,6
530,0.0,4
531,0.0,2
532,0.0,4
533,0.0,13
534,0.0,23
535,0.0,15
536,0.0,2
537,0.0,2
538,0.0,11
